Field,Binary Tally,Multi-Classification Tally,Total Tally
FLOW_DURATION_MILLISECONDS,2,2,4
TCP_WIN_MAX_IN,3,3,6
DURATION_OUT,2,1,3
MAX_TTL,2,1,3
L7_PROTO,2,2,4
SRC_TO_DST_AVG_THROUGHPUT,2,2,4
SHORTEST_FLOW_PKT,2,3,5
MIN_IP_PKT_LEN,1,2,3
TCP_WIN_MAX_OUT,1,3,4
OUT_BYTES,1,3,4
SRC_TO_DST_SECOND_BYTES,1,1,2
LONGEST_FLOW_PKT,1,1,2
L4_DST_PORT,1,1,2
IN_BYTES,1,1,2
IPV4_SRC_ADDR,1,,1
IPV4_DST_ADDR,1,1,2
MAX_IP_PKT_LEN,2,2,4
L4_SRC_PORT,1,1,2
DST_TO_SRC_SECOND_BYTES,,1,1
DST_TO_SRC_AVG_THROUGHPUT,1,1,2
SERVER_TCP_FLAGS,1,1,2
CLIENT_TCP_FLAGS,,2,2
TCP_FLAGS,1,1,2
PROTOCOL,1,1,2
IN_PKTS,1,1,2
RETRANSMITTED_OUT_PKTS,1,1,2
NUM_PKTS_1024_TO_1514_BYTES,1,1,2
DNS_QUERY_ID,1,1,2
ICMP_TYPE,,1,1
